,Close Price,Date
173,26.65,26-12-2000
174,26.450001,27-12-2000
175,25.85,28-12-2000
176,26.799999,29-12-2000
177,27.200001,2-1-2001
178,27.950001,3-1-2001
179,28.200001,4-1-2001
180,30.049999,12-1-2001
181,30.35,16-1-2001
182,29.65,17-1-2001
183,30.450001,18-1-2001
184,32.099998,19-1-2001
185,32.0,22-1-2001
186,29.57,23-1-2001
187,29.049999,24-1-2001
188,29.780001000000002,26-1-2001
189,29.059998999999998,30-1-2001
190,28.700001,31-1-2001
191,29.799999,1-2-2001
192,31.25,2-2-2001
193,30.5,5-2-2001
194,30.35,6-2-2001
195,31.200001,7-2-2001
196,31.559998999999998,8-2-2001
197,31.049999,9-2-2001
198,30.549999,12-2-2001
199,29.75,14-2-2001
200,29.16,16-2-2001
201,28.58,20-2-2001
202,28.549999,21-2-2001
203,28.82,22-2-2001
204,29.0,23-2-2001
205,28.440001000000002,26-2-2001
206,28.120001000000002,27-2-2001
207,27.42,28-2-2001
208,27.65,1-3-2001
209,27.84,2-3-2001
210,28.6,5-3-2001
211,28.299999,6-3-2001
212,28.950001,7-3-2001
213,28.49,8-3-2001
214,27.799999,9-3-2001
215,27.450001,13-3-2001
216,26.450001,14-3-2001
217,26.65,15-3-2001
218,26.700001,16-3-2001
219,26.18,19-3-2001
220,25.9,20-3-2001
221,26.799999,21-3-2001
222,26.52,22-3-2001
223,27.299999,23-3-2001
224,27.459999,26-3-2001
225,27.75,27-3-2001
226,26.25,28-3-2001
227,26.35,29-3-2001
228,26.4,30-3-2001
229,25.59,2-4-2001
230,26.190001000000002,3-4-2001
231,27.26,5-4-2001
232,27.059998999999998,6-4-2001
233,27.34,9-4-2001
234,28.48,10-4-2001
235,28.18,11-4-2001
236,28.25,12-4-2001
237,28.790001,16-4-2001
238,28.24,17-4-2001
239,27.950001,18-4-2001
240,27.83,19-4-2001
241,27.280001000000002,20-4-2001
242,27.610001,23-4-2001
243,26.860001,24-4-2001
244,27.290001,25-4-2001
245,28.440001000000002,26-4-2001
246,28.27,27-4-2001
247,28.459999,30-4-2001
248,28.940001000000002,1-5-2001
249,27.799999,2-5-2001
250,28.450001,3-5-2001
251,28.360001,4-5-2001
252,27.77,7-5-2001
253,27.389999,8-5-2001
254,28.23,9-5-2001
255,28.52,10-5-2001
256,28.549999,11-5-2001
257,28.709999,14-5-2001
258,28.98,15-5-2001
259,28.860001,16-5-2001
260,28.91,17-5-2001
261,29.91,18-5-2001
262,29.98,21-5-2001
263,29.74,22-5-2001
264,29.58,23-5-2001
265,28.41,24-5-2001
266,28.379998999999998,25-5-2001
267,28.66,29-5-2001
268,28.549999,30-5-2001
269,28.370001000000002,31-5-2001
270,27.93,1-6-2001
271,28.129998999999998,4-6-2001
272,28.24,5-6-2001
273,27.719998999999998,6-6-2001
274,27.75,7-6-2001
275,29.040001,11-6-2001
276,29.18,12-6-2001
277,28.84,13-6-2001
278,28.51,15-6-2001
279,27.549999,18-6-2001
280,27.48,19-6-2001
281,26.5,20-6-2001
282,26.559998999999998,21-6-2001
283,26.83,22-6-2001
284,27.25,25-6-2001
285,26.98,26-6-2001
286,25.610001,27-6-2001
287,25.559998999999998,28-6-2001
288,26.25,29-6-2001
289,25.950001,2-7-2001
290,26.24,3-7-2001
291,28.209999,6-7-2001
292,27.59,9-7-2001
293,27.110001,11-7-2001
294,26.799999,12-7-2001
295,26.59,13-7-2001
296,26.059998999999998,16-7-2001
297,25.57,17-7-2001
298,24.889999,18-7-2001
299,24.700001,19-7-2001
300,26.120001000000002,23-7-2001
301,26.309998999999998,24-7-2001
302,26.84,25-7-2001
303,26.73,26-7-2001
304,27.02,27-7-2001
305,26.629998999999998,30-7-2001
306,26.35,31-7-2001
307,26.77,1-8-2001
308,27.709999,2-8-2001
309,27.620001000000002,3-8-2001
310,27.74,6-8-2001
